,MVP,QueryNumber
0,16.66664922511134,1.0
1,11.940364623291453,2.0
2,13.925063308078128,3.0
3,11.946611946611947,4.0
4,19.519467541901562,5.0
5,22.08565930194077,6.0
6,14.297960027728989,7.0
7,1.9985630420654374,8.0
8,22.535093836980625,9.0
9,23.67129483211885,10.0
10,44.788889206159894,11.0
11,1.6450766192924822,12.0
12,30.003607806190903,13.0
13,22.866224023988803,14.0
14,17.937973956673996,15.0
15,20.74399351196731,16.0
16,15.154647951671459,17.0
17,47.5698789143539,18.0
18,7.105315016642991,19.0
19,57.08718085404545,20.0
20,20.06335427949401,21.0
21,20.436329508599176,22.0
22,4.372257845225258,23.0
23,8.58772257354717,24.0
24,22.293288354513148,25.0
25,20.461211997025305,26.0
26,20.606400475354572,27.0
27,12.176091221452651,28.0
28,12.37065183270541,29.0
29,26.50792087756475,30.0
30,24.185566999080017,31.0
31,12.220979034721845,32.0
32,50.29592217424568,33.0
33,33.73472828733551,34.0
34,22.71484401532278,35.0
35,9.792529336853395,36.0
36,52.661110328613816,37.0
37,14.640357985444957,38.0
38,27.329280060542093,39.0
39,16.806108291730684,40.0
40,24.00130457113166,41.0
41,23.61581915814692,42.0
42,34.51422839814414,43.0
43,39.85371390577244,44.0
44,22.639800151621124,45.0
45,19.136299423999922,46.0
46,8.477270933512726,47.0
47,12.64095271748954,48.0
48,35.59163842230982,49.0
49,25.518386036774235,50.0
50,44.69147264351665,51.0
51,50.19646365422397,52.0
52,32.32119041370723,53.0
53,31.179493630081286,54.0
54,5.014323073753144,55.0
55,12.207051074605392,56.0
56,54.47888775647859,57.0
57,46.27820985068226,58.0
58,19.217422062501917,59.0
59,6.413979148942955,60.0
60,30.07344348912439,61.0
61,25.833042923267836,62.0
62,15.233924762730018,63.0
63,15.084147601891976,64.0
64,23.004915172123578,65.0
65,15.533852611235066,66.0
66,23.648664287425728,67.0
67,16.167211208322087,68.0
68,29.660065479997353,69.0
69,28.435051635036366,70.0
70,37.72272995077413,71.0
71,40.985253545737415,72.0
72,34.24454135876377,73.0
73,27.755916685303195,74.0
74,35.033235271115416,75.0
75,19.305072610164995,76.0
76,10.068566856043633,77.0
77,35.167073269668826,78.0
78,23.134615206844693,79.0
79,28.145447269207768,80.0
80,23.88457996398616,81.0
81,23.512149039878746,82.0
82,19.31636147974195,83.0
83,43.63899423332434,84.0
84,10.515873290585708,85.0
85,26.701579656589075,86.0
86,10.021954277867065,87.0
87,8.095383616845167,88.0
88,36.65943354048503,89.0
89,60.001515522637355,90.0
90,18.80823718569003,91.0
91,31.963595478484713,92.0
92,25.34875426867641,94.0
93,23.547119276854897,95.0
94,19.45220404369667,96.0
95,30.851180300653223,97.0
96,21.51239495943879,98.0
97,60.470585140662614,99.0
98,28.14116725872791,100.0
