,RR,QueryNumber
0,16.666666666666664,1.0
1,33.33333333333333,2.0
2,50.0,3.0
3,0.0,4.0
4,100.0,5.0
5,100.0,6.0
6,100.0,7.0
7,10.0,8.0
8,100.0,9.0
9,33.33333333333333,10.0
10,100.0,11.0
11,0.0,12.0
12,100.0,13.0
13,100.0,14.0
14,100.0,15.0
15,100.0,16.0
16,100.0,17.0
17,100.0,18.0
18,0.0,19.0
19,100.0,20.0
20,100.0,21.0
21,100.0,22.0
22,33.33333333333333,23.0
23,100.0,24.0
24,100.0,25.0
25,100.0,26.0
26,100.0,27.0
27,100.0,28.0
28,12.5,29.0
29,100.0,30.0
30,100.0,31.0
31,100.0,32.0
32,100.0,33.0
33,100.0,34.0
34,100.0,35.0
35,100.0,36.0
36,100.0,37.0
37,14.285714285714285,38.0
38,100.0,39.0
39,20.0,40.0
40,50.0,41.0
41,100.0,42.0
42,100.0,43.0
43,100.0,44.0
44,100.0,45.0
45,100.0,46.0
46,25.0,47.0
47,12.5,48.0
48,100.0,49.0
49,100.0,50.0
50,100.0,51.0
51,100.0,52.0
52,100.0,53.0
53,100.0,54.0
54,25.0,55.0
55,100.0,56.0
56,100.0,57.0
57,100.0,58.0
58,33.33333333333333,59.0
59,100.0,60.0
60,100.0,61.0
61,100.0,62.0
62,100.0,63.0
63,50.0,64.0
64,100.0,65.0
65,100.0,66.0
66,50.0,67.0
67,33.33333333333333,68.0
68,100.0,69.0
69,100.0,70.0
70,100.0,71.0
71,50.0,72.0
72,100.0,73.0
73,100.0,74.0
74,100.0,75.0
75,100.0,76.0
76,100.0,77.0
77,50.0,78.0
78,33.33333333333333,79.0
79,100.0,80.0
80,100.0,81.0
81,25.0,82.0
82,100.0,83.0
83,100.0,84.0
84,10.0,85.0
85,100.0,86.0
86,25.0,87.0
87,20.0,88.0
88,100.0,89.0
89,100.0,90.0
90,100.0,91.0
91,100.0,92.0
92,100.0,94.0
93,100.0,95.0
94,100.0,96.0
95,50.0,97.0
96,100.0,98.0
97,100.0,99.0
98,100.0,100.0
